Name,RA,Dec,Vmag,SpType,B-V,Ebv,Miles,Sp_s,Melchiors
HD 11031 ,27.3147623333333,47.8969229722222,5.82,A3V,0.29,0.21,,A3,
HD 110379,190.41666666666666,-1.4495,3.44,F1-F2V,0.36,,,,oui
HD 110380,190.41583333333332,-1.4493305555555556,3.49,F0mF2V,0.36,,,,oui
HD 110411,190.471069083333,10.2356263333333,4.872,A0V,0.079,0.09,,A0,
HD 110423,190.487988625,6.80661744444444,5.572,A2V,0.002,-0.05,,A2,
HD 110462,190.39124999999999,62.713030555555555,6.02,A2III,0.04,,,,oui
HD 110506,190.788245708333,-56.1762252222222,5.985,"B7,5V",-0.073,0.06,,"B7,5",
HD 110879,191.570017083333,-68.1081156666667,3.07,"B2,5V",-0.16,0.08,,"B2,5",
HD 110956,191.594644166667,-56.4888157222222,4.612,B3V,-0.143,0.06,,B3,
HD 111155,191.76708333333332,13.616830555555556,7.91,F4,0.38,,,,oui
HD 111238,191.95333333333332,19.02431111111111,7.71,F6,0.49,,,,oui
HD 111270,191.828961875,62.7811531388889,5.89,A9V,0.2,-0.1,,A9,oui
HD 111397,192.225886833333,14.1225873888889,5.702,A1V,0.025,0.01,,A1,
HD 111469,192.322717125,27.552381,5.756,A2V,0.048,0.0,,A2,
HD 111588,192.741163,-52.7874244722222,5.711,A5V,0.119,-0.03,,A5,
HD 111604,192.544751166667,37.5169368611111,5.885,A3V,0.158,0.08,,A3,
HD 11170,27.48333333333333,7.223530555555556,7.4,G1IV,0.61,,,,oui
HD 11171,27.396249999999995,-10.686419444444445,4.68,F0V,0.32,,,,oui
HD 111718,192.80041666666665,19.161388888888887,7.21,F4,0.42,,,,oui
HD 111774,192.987210333333,-39.6804314444444,5.974,B8V,-0.083,0.03,,B8,
HD 111786,192.992625,-26.7383055555556,6.145,A0III,,0.02,s0453,A0,
HD 111840,192.83166666666665,57.73163888888889,7.7,M2,1.56,,,,oui
HD 111997,193.26583333333332,19.605061111111112,7.67,F7,0.46,,,,oui
HD 112014,192.277650333333,83.4178090555556,5.85,"A0V+,,,",0.01,0.02,,A0,
HD 112028,192.493166666667,83.4128888888889,5.311,A1 III,,0.07,s0451,A1,
HD 112033,193.32749999999996,21.242780555555555,4.91,G7III+F:,0.89,,,,oui
HD 112078,193.66326075,-59.1467008055556,4.602,B4Vne,-0.14,0.04,,B4,
HD 112091,193.653692916667,-57.1686704722222,5.113,B5Vne,-0.094,0.07,,B5,
HD 112127,193.4820833333333,26.779999999999998,6.88,C-R4IIIb,1.26,,,,oui
HD 112131,193.577750125,-11.6485686944444,5.999,A2V,0.065,0.02,,A2,
HD 112142,193.5883333333333,-9.539,4.8,M3-III,1.59,,,,oui
HD 112185,193.50708333333333,55.959830555555556,1.77,A1III-IVpkB9,-0.02,,,,oui
HD 112264,193.73541666666665,47.19671944444444,5.84,M5-III-IIIa,1.55,,,,oui
HD 112300,193.90083333333328,3.3974694444444444,3.38,M3+III,1.59,,,,oui
HD 112409,194.268135166667,-51.1987516111111,5.163,"B8,5V",-0.061,0.05,,"B8,5",
HD 11241 ,27.9971650833333,55.1473824166667,5.52,B1.5V,-0.18,0.09,,"B1,5",oui
HD 112413,194.00708333333333,38.31838888888889,2.88,A0VpSiEu,-0.12,,,,oui
HD 112413,194.242333333333,38.3183888888889,2.9,A0 spe,,0.01,s0456,A0,
HD 112846,194.914652375,-3.81192002777778,5.805,A3V,0.159,0.08,,A3,
HD 112989,195.06874999999997,30.785030555555558,4.88,G9IIICH-2CN-1,1.14,,,,oui
HD 113139,195.1820833333333,56.36633055555556,4.93,F2V,0.36,,,,oui
HD 113226,195.54416666666665,10.959138888888889,2.79,G8III-IIIb,0.92,,,,oui
HD 113314,195.888772,-49.5272643888889,4.83,A0V,0.027,0.04,,A0,
HD 113415A,195.95,-20.583330555555555,6.3,F8,0.55,,,,oui
HD 11353,27.865,-10.335030555555557,3.72,K0.5III,1.14,,,,oui
HD 113703,196.569600458333,-48.4632905555556,4.694,B5V,-0.13,0.03,,B5,
HD 113791,196.727664166667,-49.9062450833333,4.264,"B1,5V",-0.18,0.08,,"B1,5",
HD 113797,196.43514925,35.7988992777778,5.191,B9V,-0.058,0.01,,B9,
HD 113902,196.909516333333,-53.4597638333333,5.701,B8V,-0.061,0.05,,B8,
HD 11413 ,27.7268113333333,-50.2061379444445,5.943,A1V,0.143,0.12,,A1,
HD 11415,28.598749999999995,63.67011111111111,3.37,B3Vp_sh,-0.15,,,,oui
HD 114330,197.493458333333,-5.539,4.381,A1V,,0.02,s0461,A1,
HD 11443,28.270416666666662,29.578830555555555,3.42,F5III,0.48,,,,oui
HD 114520,197.7183333333333,21.23375,6.82,F5IV-VSr,0.46,,,,oui
HD 114570,198.203347791667,-66.2267471388889,5.905,"A0Vm,,,",0.045,0.05,,A0,
HD 114642,198.0145833333333,-16.198611111111113,5.04,F5.5V,0.46,,,,oui
HD 114710,197.98083333333332,27.865830555555558,4.25,F9.5V,0.59,,,,oui
HD 114762,198.0820833333333,17.51711111111111,7.3,F9VgF8mF4+M6?V,90.0,,,,oui
HD 114772,198.347303625,-50.6998263055556,5.908,B9V,-0.012,0.06,,B9,
HD 114911,198.812255125,-67.894591,4.774,B8V,-0.077,0.03,,B8,
HD 114961,198.5183333333333,-2.8069694444444444,6.85,M7III:,1.67,,,,oui
HD 114988,198.4358333333333,32.53043888888889,6.69,G1IIIFe-1,0.79,,,,oui
HD 11502 ,28.3825,19.2958333333333,4.59,A0Vnp_lB,-0.03,0.17,,B9,oui
HD 115080,198.7320833333333,-11.369419444444445,7.04,G1.5V,0.69,,,,oui
HD 115271,198.883137083333,40.8552002222222,5.778,A7V,0.182,-0.02,,A7,
HD 11529,28.999999999999996,68.68525000000001,4.97,B5III,-0.09,,,,oui
HD 115308,199.10625,-1.3905305555555556,6.68,F0IV/V,0.32,,,,oui
HD 115322,199.09958333333333,6.504611111111111,7.21,M6III,1.42,,,,oui
HD 115521,199.40124999999998,5.469861111111111,4.8,M1III,1.67,,,,oui
HD 115604,199.38541666666663,40.572611111111115,4.7,A9IImF2,0.31,,,,oui
HD 115617,199.60125,-18.3112,4.74,G6.5V,0.7,,,,oui
HD 115659,199.73041666666666,-23.1715,3.0,G8IIIa,0.92,,,,oui
HD 115709,199.71291666666664,3.687638888888889,6.62,A0V,0.04,,,,oui
HD 115735,199.560456875,49.6820620555556,5.15,A0V,-0.07,-0.06,,A0,
HD 11577,28.82291666666666,57.09213888888889,7.71,B9.5IV,0.05,,,,oui
HD 115823,200.157604416667,-52.7478250555556,5.447,B6V,-0.119,0.02,,B6,
HD 115998,200.26999999999998,-24.470219444444442,6.89,K5/M0III,1.68,,,,oui
HD 116029,200.1645833333333,24.648699999999998,7.89,K1IV,1.0,,,,oui
HD 116087,200.658067166667,-60.9883938333333,4.505,B3V,-0.125,0.08,,B3,
HD 116160,200.423516125,2.08724280555556,5.693,A2V,0.042,-0.01,,A2,
HD 11636 ,28.6600457916667,20.8080314722222,2.65,kA4hA5mA5Va,0.13,-0.02,,A5,oui
HD 116656,200.981418666667,54.9253519722222,2.22,A1.5Vas,0.05,-0.03,,A2,oui
HD 116842,201.30624999999998,54.98795,4.01,A5V+M3-4V,0.17,,,,oui
HD 117043,201.49958333333328,63.26128055555556,6.5,G6V,90.0,,,,oui
HD 117105,202.12749999999997,-27.391861111111112,7.21,F9.5V,0.57,,,,oui
HD 117150,202.355224291667,-51.1651339722222,5.05,A1V,0.055,0.04,,A1,
HD 117176,202.1075,13.778780555555556,4.97,G4Va,0.71,,,,oui
HD 117242,201.9983333333333,52.745580555555556,6.34,F0,0.24,,,,oui
HD 117376,202.11286025,59.9457874722222,5.4,A1Vn,-0.01,-0.03,,A1,
HD 11753 ,28.591806125,-42.4969495277778,5.112,A3V,-0.048,-0.13,,A3,
HD 117675,202.99124999999998,-6.255811111111111,4.69,M2.5III,1.6,,,,oui
HD 118054,203.6685425,-13.2143254444444,5.922,A0V,0.018,0.03,,A0,
HD 118098,203.673296458333,-0.595819083333333,3.38,A2Van,0.12,0.0,,A3,oui
HD 118214,203.530437916667,55.3484353611111,5.594,A0V,-0.015,-0.01,,A0,
HD 118216,203.69916666666666,37.18241111111111,4.98,A6m,0.4,,,,oui
HD 118219,203.88041666666663,-5.396188888888889,5.71,K0III,0.95,,,,oui
HD 118232,203.613580333333,49.0159740277778,4.7,A4V,0.12,-0.03,,A5,oui
HD 118295,203.80875,44.19706111111111,6.83,A8.5III,0.21,,,,oui
HD 118354,204.347809333333,-46.4278816944444,5.891,B8V,-0.097,0.01,,B8,
HD 11857,29.638333333333332,61.69778055555555,6.0,B7I,-0.04,,,,oui
HD 11860,29.57708333333333,59.62595,6.64,A1IV,0.09,,,,oui
HD 118623,204.36499999999998,36.294888888888885,4.82,A7III+A8V:,0.23,,,,oui
HD 118643,204.41,33.73811111111111,7.22,K3III,1.35,,,,oui
HD 118991,205.436550708333,-54.5594243055556,5.01,B8Vn,-0.05,0.06,,B8,
HD 119024,204.876865041667,52.92120925,5.467,A3Vn,0.106,0.03,,A3,
HD 119055,205.168623416667,19.9557183055556,5.753,A1V,0.021,0.0,,A1,
HD 119149,205.4033333333333,-8.702969444444443,5.01,M1+III,1.63,,,,oui
HD 119228,205.18458333333328,54.681638888888884,4.66,M2III,1.63,,,,oui
HD 11946 ,29.90849025,64.6216006388889,5.283,A0Vn,0.001,0.01,,A0,
HD 119476,205.374553291667,64.8224105,5.85,A2V,0.08,0.03,,A2,
HD 11949,29.63958333333333,49.20436111111111,5.7,K0IV,1.0,,,,oui
HD 119638,206.1858333333333,-14.225188888888889,6.92,F8.5V,0.48,,,,oui
HD 11973,29.482083333333332,23.59606111111111,4.77,F0V,0.29,,,,oui
HD 119752,206.403709583333,-26.1160083611111,5.805,A0V,0.021,0.03,,A0,
HD 11979,29.684583333333332,45.435249999999996,9.3,M8,2.28,,,,oui
HD 119921,206.734801041667,-36.2519325833333,5.155,A0V,-0.008,0.0,,A0,
HD 120047,206.556439833333,41.0887437222222,5.891,A5V,0.193,0.04,,A5,
HD 120136,206.81541666666664,17.456919444444445,4.49,F7IV-V,0.49,,,,oui
HD 120315,206.885157333333,49.3132667222222,1.86,B3V,-0.19,0.1,,B3,oui
HD 120324,207.404119291667,-42.4737304444445,3.456,B2Vnpe,-0.182,0.06,,B2,
HD 120477,207.36916666666664,15.797919444444444,4.07,K5.5III,1.52,,,,oui
HD 120640,207.946729458333,-46.8986688611111,5.75,B2Vp,-0.151,0.09,,B2,
HD 120642,208.02025275,-52.8115301666667,5.248,B9V,-0.083,-0.01,,B9,
HD 120787,207.4395833333333,61.489311111111114,5.96,G3V,0.96,,,,oui
HD 12111,30.489583333333325,70.90703055555556,4.54,A3Va,0.16,,,,oui
HD 121130,207.85791666666663,64.72326944444444,4.66,M3.5III,1.57,,,,oui
HD 121146,207.74624999999997,68.31531111111111,6.4,K2IV,90.0,,,,oui
HD 121164,208.292840458333,28.6481331388889,5.911,A7V,0.187,-0.01,,A7,
HD 121190,208.800590916667,-52.1608216944444,5.654,B9V,-0.066,0.0,,B9,
HD 121370,208.67125,18.397719444444444,2.68,G0IV,0.57,,,,oui
HD 12140,29.857916666666664,12.294888888888888,6.08,A6V,0.2,,,,oui
HD 121409,208.462558291667,53.7286749722222,5.698,A0V,-0.032,-0.02,,A0,
HD 121607,209.116152166667,1.05058166666667,5.9,A5IV/V,0.22,-0.07,,A8,oui
HD 121847,209.62977675,-24.9722494166667,5.15,B8V,-0.1,0.01,,B8,
HD 121996,209.662175041667,21.69621525,5.756,A0Vs,-0.003,0.01,,A0,
HD 122064,209.38374999999996,61.49286111111111,6.5,K3V,90.0,,,,oui
HD 12208,30.496249999999996,61.90506111111111,7.51,M3/4III,1.58,,,,oui
HD 12216 ,30.85877575,72.4212938333333,3.94,A2V,0.01,-0.03,,A2,oui
HD 12235,30.038333333333327,3.0970305555555555,5.9,G2IV,90.0,,,,oui
HD 122365,210.335119875,8.89490708333333,5.981,A2V,0.081,0.03,,A2,
HD 122408,210.411639208333,1.54453180555556,4.24,A2IV/V,0.09,0.02,,A3,oui
HD 122563,210.63249999999996,9.686080555555556,6.19,G8:III:Fe-5,0.91,,,,oui
HD 12274,30.00125,-21.077830555555554,4.02,M0III,1.56,,,,oui
HD 122742,210.885,10.786780555555556,6.27,G6V,0.76,,,,oui
HD 12279 ,30.718652,64.9014635555556,5.999,A1Vn,0.027,0.01,,A1,
HD 12292,30.11166666666666,-8.523861111111112,5.51,M3II,1.52,,,,oui
HD 122980,211.511534333333,-41.179633,4.343,B2V,-0.186,0.05,,B2,
HD 123,1.5658333333333332,58.43671944444444,6.4,G3V+G8V,90.0,,,,oui
HD 12303,30.575416666666662,54.48753055555556,5.04,B8III,-0.08,,,,oui
HD 123123,211.59291666666664,-26.682361111111113,3.28,K2-IIIFe-0.5,1.13,,,,oui
HD 123255,211.67833333333328,-9.313530555555555,5.45,F2III,0.35,,,,oui
HD 123299,211.0970833333333,64.3758611111111,3.68,A0III,-0.04,,,,oui
HD 123299,211.242291666667,64.3758888888889,3.647,A0 III,,0.01,s0495,A0,
HD 123782,212.07208333333332,49.458169444444444,5.25,M1.5III,1.65,,,,oui
HD 123934,212.71041666666665,-16.302030555555557,4.91,M2IIIa,1.72,,,,oui
HD 124224,213.065856166667,2.4094315,5.01,"A0Vp,,,",-0.12,-0.11,,A0,
HD 124330,212.82166666666663,54.40913888888889,7.9,G4IV,90.0,,,,oui
HD 124367,213.738076583333,-57.0861262222222,5.044,B4Vne,-0.074,0.11,,B4,
HD 12446J,30.511666666666663,2.76375,4.1,kA0hA7Sr+kA2hF2mF2(IV),90.0,,,,oui
HD 124675,213.3708333333333,51.789969444444445,4.51,A7IV,0.23,,,,oui
