Name,RA,Dec,Vmag,SpType,B-V,Ebv,Miles,Sp_s,Melchiors
HD 4676,12.244583333333333,16.940638888888888,5.1,F8V,90.0,,,,oui
HD 46780A,99.10958333333332,27.278388888888887,7.07,F9V,0.58,,,,oui
HD 46860 ,97.9929592083333,-58.7538365833333,5.707,B9Ve,-0.06,0.01,,B9,
HD 46933,98.76416666666665,-22.96481111111111,4.5,A0III,-0.01,,,,oui
HD 46936 ,98.6472102916667,-32.7162540555556,5.61,B8V,-0.076,0.03,,B8,
HD 46966,99.10787499999998,6.0831888888888885,6.87,O8.5IV,-0.04,,,,oui
HD 47054 ,99.1472139583333,-5.21114186111111,5.57,B8Ve,-0.13,-0.02,,B8,
HD 47100,99.70499999999998,39.90256111111111,5.33,B8III,-0.08,,,,oui
HD 47129,99.35,6.1353888888888894,6.06,O8I+O7.5III,0.05,,,,oui
HD 47144 ,98.850909625,-36.7798785,5.77,A0V,-0.14,-0.13,,A0,
HD 47205,99.17083333333332,-19.25588888888889,3.91,K1.5III-IVFe1,1.1,,,,oui
HD 4727  ,12.4535307083333,41.0789101111111,4.524,"B5V+,,,",-0.134,0.03,,B5,
HD 47382,99.61933333333332,4.607188888888889,7.14,B6Ib,0.17,,,,oui
HD 47395,99.88791666666667,28.26313888888889,6.0,B7III,90.0,,,,oui
HD 47415,99.88125,24.600169444444447,6.38,F8IV,0.53,,,,oui
HD 47417,99.69970833333332,6.901880555555556,6.95,B0IV,-0.04,,,,oui
HD 47423,99.4675,-14.456469444444444,7.92,G8/K0IV,1.01,,,,oui
HD 47432,99.65912499999999,1.6135194444444445,6.31,O9.7Ib,0.13,,,,oui
HD 4747,12.361666666666665,-23.212469444444444,7.16,G8/K0V,0.77,,,,oui
HD 47561,99.64762499999998,-16.87355,6.03,A0IV,0.03,,,,oui
HD 4757,12.469999999999999,27.71081111111111,6.28,F4III,0.42,,,,oui
HD 47575 ,99.9488195,12.9827675,5.979,A2V,0.069,0.02,,A2,
HD 47703,100.4075,35.93191944444444,6.48,F8III,0.49,,,,oui
HD 4775  ,12.6817119166667,64.2475509722222,5.373,"B9,5V+,,,",0.475,0.55,,"B9,5",
HD 47839 ,100.244415125,9.89575636111111,4.64,O7V+B1.5/2V,-0.24,-0.2,,O7,oui
HD 48038,100.23875,-12.18225,6.92,B2III,0.03,,,,oui
HD 48097 ,100.601363416667,17.6453088333333,5.21,A2V,0.06,0.01,,A2,
HD 48099,100.49666666666666,6.3454194444444445,6.37,O5V((f))z+O9:V,-0.05,,,,oui
HD 48250 ,101.558875791667,59.4416729722222,4.87,A3V,0.08,0.0,,A3,
HD 48250A,101.558958333333,59.4416944444444,5.3,"A1,5V",0.0,-0.02,,"A1,5",
HD 48279,100.66875,1.7161694444444444,7.86,O8V+F2V,0.17,,,,oui
HD 483,2.330833333333333,17.533919444444447,7.05,G2III,0.64,,,,oui
HD 48329,100.98291666666665,25.131138888888888,2.98,G8Ib,1.41,,,,oui
HD 48434,100.91083333333333,3.932530555555555,5.9,B0II,-0.02,,,,oui
HD 4853  ,13.7211966666667,83.7074393888889,5.59,A4V,0.09,-0.03,,A4,
HD 48691,101.15249999999999,0.5893111111111111,7.87,B5/7Ib,0.01,,,,oui
HD 48737,101.32249999999998,12.895580555555554,3.36,F5IV-V,0.43,,,,oui
HD 48843,101.47583333333333,12.693561111111112,6.47,A9III,0.33,,,,oui
HD 48879,102.73791666666666,67.57193888888888,5.12,B4IV,-0.16,,,,oui
HD 48915 ,101.287155333333,-16.7161158611111,-1.46,A0mA1Va,0.0,-0.01,,A1,oui
HD 48977 ,101.635063416667,8.58715630555556,5.92,B3V,-0.16,0.08,,"B2,5",oui
HD 49147 ,101.662564958333,-10.1073602222222,5.653,"B9,5V",-0.04,0.03,,"B9,5",
HD 49315,101.80999999999997,-16.066469444444444,7.83,B4III,-0.09,,,,oui
HD 49333,101.75616666666666,-21.01538888888889,6.1,B7III,90.0,,,,oui
HD 49340,103.42583333333332,68.88831111111112,5.1,B7III,-0.12,,,,oui
HD 49368,102.09291666666665,5.5416694444444445,7.78,S3/2,1.75,,,,oui
HD 49434,102.07958333333332,-1.3189194444444445,5.73,F0V+,0.28,,,,oui
HD 49606,102.45749999999998,16.20288888888889,5.87,B7III,-0.15,,,,oui
HD 49662,102.24058333333332,-15.144730555555554,5.3,B7IV,90.0,,,,oui
HD 49676,102.50916666666664,12.058111111111112,6.85,M4,1.79,,,,oui
HD 49864,102.50333333333332,-12.96375,7.99,B9.5IV,0.01,,,,oui
HD 49908 ,102.887692708333,21.7611465833333,5.265,A2V,0.01,-0.04,,A2,
HD 50019,103.19708333333334,33.96125,3.6,A2IV,0.1,,,,oui
HD 50123 ,102.5972835,-31.7060578333333,5.743,B6Vnpe,0.088,0.23,,B6,
HD 50138,102.88916666666665,-6.9665,6.67,A1Ib/II,0.01,,,,oui
HD 5015,13.267499999999998,61.12396944444445,4.8,F9V,0.54,,,,oui
HD 50241 ,102.047729666667,-61.9413891111111,3.3,A8VnkA6,0.18,-0.09,,A8,
HD 50255,103.00999999999999,-11.2045,7.43,G4.5V,0.69,,,,oui
HD 50281,103.07499999999999,-5.173719444444445,6.57,K3.5V,1.07,,,,oui
HD 50372,103.24708333333332,2.7435,7.08,K0III,1.14,,,,oui
HD 50420,103.81124999999999,43.91003055555555,6.15,A9IIIa,0.32,,,,oui
HD 50420,103.995458333333,43.91,6.161,A9III,,0.04,s0237,A9,
HD 50445 ,102.926755375,-36.2302726111111,5.949,A3V,0.174,0.09,,A3,
HD 50639,103.43666666666664,-9.515469444444445,7.05,F8.5V,0.54,,,,oui
HD 50643,103.34083333333331,-18.932830555555558,6.12,A3III,0.17,,,,oui
HD 50778,103.5475,-12.038638888888888,4.08,K3/4III,1.43,,,,oui
HD 50806,103.39141666666664,-28.53978888888889,6.04,G5V,0.71,,,,oui
HD 50877,103.53333333333333,-24.184219444444444,3.87,K2Iab,1.73,,,,oui
HD 50973 ,104.404612875,45.0940945555556,4.9,A2Vn,0.035,-0.02,,A2,
HD 51021,104.32708333333333,37.39471944444444,6.5,M3,1.65,,,,oui
HD 51055 ,103.761409875,-20.4048771111111,5.795,A2V,0.045,-0.01,,A2,
HD 51104 ,104.107637583333,9.95657427777778,5.905,B8Vn,-0.089,0.02,,B8,
HD 51199,103.90595833333333,-20.136499999999998,4.66,F1.5V,0.36,,,,oui
HD 51250,104.027875,-14.043469444444444,5.09,K2/3III,1.49,,,,oui
HD 51710,105.12124999999999,42.09068888888889,7.41,G7IV,1.02,,,,oui
HD 51725,104.52958333333332,-9.027280555555556,7.12,M4,1.5,,,,oui
HD 51756,104.61749999999999,-3.023719444444444,7.18,B1/2Ib,-0.1,,,,oui
HD 51823,104.4275,-27.5375,6.23,B2/3V,-0.14,,,,oui
HD 51911,104.96041666666666,15.94111111111111,7.05,G0III,0.81,,,,oui
HD 52018 ,104.649580041667,-25.41415725,5.577,B2V,-0.16,0.08,,B2,
HD 52089,104.65625,-28.972080555555554,1.5,B1.5II,-0.21,,,,oui
HD 52092 ,104.6045635,-34.1117061944444,5.059,B3V,-0.15,0.05,,B3,
HD 52100,105.32083333333331,32.41456111111111,6.55,A9IV,0.27,,,,oui
HD 52266,105.08791666666664,-5.826669444444444,7.23,O9.5IIIn,-0.01,,,,oui
HD 52273,104.91354166666666,-21.602880555555558,6.26,B2III,-0.15,,,,oui
HD 52554,105.60624999999999,17.755530555555556,5.94,M1,1.63,,,,oui
HD 5267  ,13.6467752916667,19.1884169722222,5.79,A1Vn,-0.03,-0.05,,A1,
HD 5268,13.573333333333332,-8.740669444444444,6.16,G8III,0.93,,,,oui
HD 52711,105.87708333333332,29.337080555555556,5.9,G0V,90.0,,,,oui
HD 5286,13.742083333333333,23.628330555555557,5.45,K0IV(e),1.01,,,,oui
HD 52877,105.42958333333331,-27.934830555555557,3.47,K5Ib,1.73,,,,oui
HD 52913 ,105.824648208333,9.13835469444445,5.962,A3Vs,0.134,0.05,,A3,
HD 52918 ,105.728236125,-4.23923269444444,5.0,B2Vn(e),-0.2,0.06,,B1,oui
HD 52976,105.96499999999997,12.59425,5.99,K5,1.57,,,,oui
HD 53244,105.93958333333332,-15.633280555555556,4.12,B8II,-0.12,,,,oui
HD 53329,106.54833333333332,34.47396944444445,5.55,G8IV,0.91,,,,oui
HD 53472,106.54833333333332,24.86013888888889,6.88,K4III,1.48,,,,oui
HD 5357,14.229583333333332,68.77566944444445,6.39,F4III,0.35,,,,oui
HD 53598,106.22333333333331,-20.830080555555554,6.89,K5/M0III,1.68,,,,oui
HD 53791,106.83874999999998,22.703530555555556,7.68,S3.5-6.5/6e,2.21,,,,oui
HD 5382,13.993749999999997,27.20938888888889,6.1,A5IV,0.13,,,,oui
HD 53899,107.05541666666666,33.83238888888889,6.3,K1,1.35,,,,oui
HD 5394,14.17708333333333,60.716750000000005,2.39,B0.5IVpe,-0.1,,,,oui
HD 53974,106.66999999999997,-11.294030555555555,5.39,B0IIIn,0.05,,,,oui
HD 5418,14.037916666666666,13.951969444444444,6.44,G8II,0.98,,,,oui
HD 54197,106.84833333333331,-14.051861111111112,8.93,B2II,0.17,,,,oui
HD 54239 ,104.143637083333,-79.4201928611111,5.459,"B9,5V",0.038,0.11,,"B9,5",
HD 54475 ,106.779492,-40.8932710833333,5.781,B3V,-0.155,0.05,,B3,
HD 5448  ,14.1883837916667,38.4993438888889,3.87,A6V,0.12,-0.02,,A5,oui
HD 54563,107.52791666666666,21.246969444444446,6.4,G9V,90.0,,,,oui
HD 54605,107.09791666666665,-26.39318888888889,1.84,F8Ia,0.68,,,,oui
HD 54716,107.91375,39.32056111111111,4.89,K4III,1.47,,,,oui
HD 54763,107.39916666666666,-15.243169444444444,7.11,A1III,0.17,,,,oui
HD 54801,107.84624999999998,26.856580555555556,5.75,A4IV,0.11,,,,oui
HD 54825,107.875,26.405919444444443,6.7,K0II,1.08,,,,oui
HD 54879,107.53395833333333,-11.802730555555556,7.65,O9.7V,-0.05,,,,oui
HD 54911,107.53708333333333,-15.684750000000001,7.34,B1III,-0.07,,,,oui
HD 54912 ,107.429267125,-25.2310359166667,5.69,B2V,-0.16,0.08,,B2,
HD 55185 ,107.966086583333,-0.492769666666667,4.15,A0IV,-0.01,-0.06,,A2,oui
HD 55383,108.34291666666665,16.158969444444445,5.0,M4III,1.66,,,,oui
HD 5550,14.629583333333331,66.3518111111111,5.97,A0III,-0.02,,,,oui
HD 55523,108.02245833333333,-27.33495,6.91,B4V,-0.14,,,,oui
HD 55589,108.27999999999999,-11.251330555555555,5.75,K4III,1.5,,,,oui
HD 55718 ,108.107595666667,-36.5443843055556,5.97,B3V,-0.14,0.06,,B3,
HD 55730,108.63583333333332,12.115830555555554,5.7,G6III,1.01,,,,oui
HD 5575,14.459166666666665,28.992219444444444,5.44,G6III,1.07,,,,oui
HD 55856,108.45166666666665,-22.90643888888889,6.27,B2IV,-0.13,,,,oui
HD 55879,108.61791666666666,-10.31625,6.03,O9.7III,-0.18,,,,oui
HD 560   ,2.509178875,11.1458133333333,5.537,B9Vn,-0.064,0.01,,B9,
HD 56176,109.26416666666665,26.689469444444445,6.39,G7IV,0.9,,,,oui
HD 56200,109.18541666666665,16.147111111111112,6.75,F4II,0.42,,,,oui
HD 56207,108.92999999999998,-10.58361111111111,5.94,K0III,1.18,,,,oui
HD 56221 ,109.509230708333,40.8833953055556,5.87,A5Vn,0.17,0.02,,A5,
HD 56342 ,108.837797375,-30.6864454444444,5.341,B3V,-0.153,0.05,,B3,
HD 56405 ,109.060639291667,-15.5856916666667,5.454,A1V,0.085,0.07,,A1,
HD 56456 ,108.65891925,-48.2719283333333,4.744,"B8,5V",-0.077,0.03,,"B8,5",
HD 56537 ,109.523249041667,16.54038625,3.56,A4IV,0.11,0.03,,A3,oui
HD 56618,109.14583333333331,-27.881169444444446,4.64,M2III,1.6,,,,oui
HD 56733 ,109.132713083333,-38.3189283333333,5.796,B4V,-0.135,0.04,,B4,
HD 56912,110.06333333333332,31.367219444444444,7.87,M7,1.52,,,,oui
HD 56955,109.55124999999998,-22.339330555555556,6.68,K0II,1.2,,,,oui
HD 56986,110.03083333333332,21.982330555555553,3.53,F2VkF0mF0,0.34,,,,oui
HD 57048,110.03999999999998,16.140330555555554,6.87,G5II,1.07,,,,oui
HD 57060,109.66833333333331,-24.5587,4.95,O7Iafpvar,-0.15,,,,oui
HD 57061,109.67708333333331,-24.95438888888889,4.4,O9II,-0.15,,,,oui
HD 571,2.5799999999999996,46.07228055555556,5.04,F5II,0.4,,,,oui
HD 57103 ,110.716926666667,55.2813986666667,5.78,B8V,-0.07,0.04,,B8,
HD 5715,15.129166666666665,70.983,6.4,A4IV,0.11,,,,oui
HD 57150 ,109.576638958333,-36.7339535833333,4.7,"B2V+,,,",-0.12,0.12,,B2,
HD 57193,109.79129166666664,-25.56588888888889,7.46,B1III,-0.18,,,,oui
HD 57240 ,109.639636083333,-39.2102865,5.249,A1V,0.024,0.0,,A1,
HD 57321,110.0783333333333,-8.549811111111111,8.74,F2II,0.25,,,,oui
HD 57593 ,110.228815666667,-26.9638373611111,5.99,B3V,-0.17,0.07,,"B2,5",oui
HD 57682,110.50874999999998,-8.97938888888889,6.43,O9.2IV,-0.19,,,,oui
HD 57708,110.57749999999999,-2.9791694444444445,6.24,K0III+A3V,0.67,,,,oui
HD 57728,110.75583333333333,15.35895,6.65,G2II,0.92,,,,oui
HD 57749,110.60583333333331,-5.982830555555556,5.82,F2III,0.35,,,,oui
HD 57790,111.21749999999999,44.85191944444445,7.9,F2II,1.17,,,,oui
HD 5788  ,15.0140416666667,44.7111388888889,5.69,A2Vn,-0.01,-0.06,,A2,
HD 58142 ,111.678549458333,49.2115251944445,4.614,A1V,-0.002,-0.02,,A1,
HD 58187,111.24249999999999,11.669530555555555,5.36,A5IV,0.1,,,,oui
HD 58207,111.43166666666666,27.798080555555558,3.79,G9IIIb,1.04,,,,oui
HD 58277,111.12041666666666,-12.201438888888887,7.73,G6II,1.18,,,,oui
HD 58343 ,111.167447541667,-16.2014726111111,5.2,B2Vne,-0.04,0.2,,B2,
HD 58350,111.02374999999999,-29.30311111111111,2.45,B5Ia,-0.08,,,,oui
HD 584,2.62375,57.1655,6.72,B8III,-0.09,,,,oui
HD 58580,111.51416666666665,-4.537361111111111,6.77,B8V,-0.01,,,,oui
HD 58585,111.33333333333333,-21.982580555555554,6.04,A5/7II,0.21,,,,oui
HD 58599,111.67166666666667,11.008830555555555,6.38,B7IV,-0.13,,,,oui
HD 58612,111.35541666666666,-25.217780555555553,5.78,B5III,-0.11,,,,oui
HD 58715 ,111.787673916667,8.28931577777778,2.886,B8Ve,-0.072,0.04,,B8,
HD 58907,111.6695,-23.71261111111111,6.61,A0IV,-0.01,,,,oui
HD 58923,112.00874999999999,6.941969444444445,5.22,F0III,0.23,,,,oui
HD 58972,112.04083333333332,8.925530555555556,4.3,K3-IIIFe-0.5,1.43,,,,oui
HD 58978,111.74783333333332,-23.086019444444442,5.56,B0.5IVe,-0.11,,,,oui
HD 59037 ,112.335173916667,28.11827625,5.06,A4V,0.12,0.01,,A4,oui
HD 59074,111.89375,-18.49188888888889,6.91,B9II,-0.1,,,,oui
HD 59105,112.76458333333332,50.04846944444444,7.78,M2,1.5,,,,oui
HD 59136,111.92891666666667,-22.8592,5.97,B5III,-0.11,,,,oui
HD 59152,112.29708333333332,12.760030555555556,6.58,A5,0.22,,,,oui
HD 59256 ,111.996501,-29.1559010555556,5.544,"B9Vsp,,,",-0.048,0.02,,B9,
HD 59499J,112.213138416667,-31.8484035,5.94,"B3V+,,,",-0.16,0.04,,B3,
HD 59550 ,112.270478708333,-31.456217,5.762,B2V,-0.18,0.06,,B2,
HD 59612,112.494958333333,-23.0243055555556,4.84,A5Ib,,0.09,s0256,A5,
HD 59635 ,112.273727166667,-38.8120656111111,5.391,B5Vp,-0.146,0.01,,B5,
HD 59833,112.83374999999998,-12.527500000000002,7.84,G3/5III,1.04,,,,oui
HD 59881,113.02458333333331,1.9144694444444443,5.23,F0V,0.22,,,,oui
HD 60107 ,113.402006583333,15.8266608055556,5.269,A1Vn,0.051,0.03,,A1,
HD 60136,113.36458333333331,11.011719444444445,6.83,M5,1.63,,,,oui
HD 60179,113.743333333333,31.8883888888889,1.88,A1V,,0.0,s0262,A1,
HD 60179 ,113.649429166667,1.888275,1.93,A1V,-0.31,-0.33,,A1,
HD 60325,113.34249999999999,-14.338311111111112,6.21,B2II,-0.04,,,,oui
HD 60345,113.29083333333332,-24.710719444444443,5.83,A3III,0.15,,,,oui
HD 60357 ,113.56621825,3.371721,5.83,A0Vnn,-0.019,-0.01,,A0,
HD 60522,113.98041666666664,26.89575,4.06,M0III,1.54,,,,oui
HD 60532,113.5133333333333,-22.29605,4.39,F6IV-V,0.55,,,,oui
HD 60553,113.55416666666665,-20.137419444444443,6.92,B2II,-0.17,,,,oui
HD 60584,113.57749999999999,-23.473669444444443,5.77,F5V,0.43,,,,oui
HD 60585,113.5783333333333,-23.474030555555554,5.79,F6V,0.45,,,,oui
HD 60606 ,113.46268225,-36.3383919444444,5.41,B3Vne,-0.09,0.11,,B3,
HD 60654,114.32416666666667,40.02538888888889,6.34,M1,1.59,,,,oui
HD 60848,114.27374999999999,16.904249999999998,6.87,O8:V:pe,-0.2,,,,oui
HD 60863 ,113.84539025,-28.3693259722222,4.63,B7V,-0.11,0.0,,B8,oui
HD 60951,114.03083333333332,-22.1605,6.34,K1II,0.99,,,,oui
HD 60997,114.14999999999998,-14.484030555555554,6.93,B6V,-0.07,,,,oui
HD 61035,114.55999999999997,24.36043888888889,6.37,F0,0.32,,,,oui
HD 61064,114.31958333333333,-4.110969444444444,5.13,F6III,0.44,,,,oui
HD 61068,114.17083333333332,-19.702330555555555,5.7,B2II,-0.17,,,,oui
HD 61071,114.13249999999998,-25.332780555555555,6.85,B2III,-0.09,,,,oui
HD 61110,114.79124999999999,34.58433055555556,4.9,F3III,0.4,,,,oui
HD 6114,15.75625,47.37616944444444,8.31,A9IV,0.12,,,,oui
HD 6118  ,15.7045685416667,31.8042630833333,5.5,B9.5V,-0.05,0.01,,"B9,5",oui
HD 61295,114.97541666666666,32.00971944444444,6.17,F5III,0.36,,,,oui
HD 6130,15.904166666666667,61.07483055555556,6.01,F0II,0.54,,,,oui
HD 61391 ,114.182998708333,-48.8301672222222,5.687,"B9,5V",-0.037,0.03,,"B9,5",
HD 61429,114.57499999999997,-25.364811111111113,4.67,B8III,-0.09,,,,oui
HD 61555 ,114.70575,-26.80180277777778,4.635,B6V,-0.118,0.02,,B6,
HD 61563,115.02916666666667,5.231080555555556,6.07,A0III,-0.05,,,,oui
HD 6178  ,15.6101366666667,-31.5520065833333,5.509,A2V,0.086,0.04,,A2,
HD 61831 ,114.86390975,-38.3080218333333,4.826,"B2,5V",-0.168,0.07,,"B2,5",
HD 6186,15.735833333333332,7.890138888888888,4.28,G9IIIbFe-2,0.96,,,,oui
HD 61878 ,114.932554541667,-38.1392881388889,5.664,B5Vn,-0.075,0.09,,B5,
HD 61887 ,115.3964785,3.62477925,5.955,A0V,-0.032,-0.02,,A0,
HD 61899 ,114.949478458333,-38.2606526944444,5.751,"B2,5V",-0.07,0.17,,"B2,5",
HD 61935,115.31166666666667,-9.55113888888889,3.93,G9.5III-IIIbFe-0.5,1.02,,,,oui
HD 62044,115.82791666666665,28.883499999999998,4.29,K1IIIe,1.12,,,,oui
HD 6211,16.009999999999998,52.50216944444445,5.98,K2,1.46,,,,oui
HD 62158,116.03958333333333,38.837811111111115,7.57,M6,1.51,,,,oui
HD 62226 ,115.315885625,-38.5335323888889,5.41,B5V,-0.113,0.05,,B5,
HD 62578 ,115.799929791667,-36.0500906944444,5.586,B5V,-0.129,0.03,,B5,
HD 62747,116.14249999999998,-24.674080555555555,5.6,B2II,-0.17,,,,oui
HD 62832 ,116.567504583333,10.76825175,5.247,A1Vnn,0.017,0.0,,A1,
HD 6288,15.954166666666664,1.3668305555555555,6.07,A8IV,0.25,,,,oui
HD 62893 ,116.142430541667,-37.9429178055556,5.89,B7V,-0.098,0.03,,B7,
HD 62952,116.48708333333332,-14.563811111111113,5.03,F2V,0.32,,,,oui
HD 63215 ,116.543934333333,-37.9336688333333,5.87,B7V,-0.094,0.04,,B7,
HD 63336,116.98624999999998,-12.1927,5.7,F5.5V,90.0,,,,oui
HD 63630,118.01625,45.933,6.5,A3,0.19,,,,oui
HD 63660,117.25708333333331,-24.9122,5.31,G1.5IIIFe-0.5,0.74,,,,oui
HD 63719,117.38499999999999,-21.28493888888889,7.96,B3/5III,-0.14,,,,oui
HD 63786 ,117.311037916667,-35.24328725,5.933,B9V,-0.051,0.02,,B9,
HD 63975,117.92499999999998,1.766861111111111,5.16,B8II,-0.13,,,,oui
HD 64096,117.94291666666665,-13.898030555555556,5.2,G0V,90.0,,,,oui
HD 64096B,117.94208333333331,-13.902811111111111,6.49,G0V,0.81,,,,oui
HD 64145 ,118.374224583333,26.7657847777778,4.977,A3V,0.1,0.02,,A3,
HD 64484 ,117.420804583333,-66.1959727777778,5.774,B9V,-0.045,0.03,,B9,
HD 64503 ,118.161027625,-38.8628140277778,4.48,"B2,5V",-0.168,0.07,,"B2,5",
HD 6456  ,16.4206469583333,21.47318025,5.317,A1Vn,0.002,-0.02,,A1,
HD 6457  ,16.42379575,21.4654440833333,5.532,A0Vn,-0.048,-0.04,,A0,
HD 64648 ,118.916229375,19.8839703888889,5.378,A0Vs,-0.035,-0.03,,A0,
HD 64740 ,118.265147416667,-49.6130425,4.61,"B1,5Vp",-0.207,0.05,,"B1,5",
HD 64802 ,118.545872208333,-35.8772866944444,5.462,B2V,-0.172,0.07,,B2,
HD 64921,118.89916666666666,-15.578811111111111,6.99,G8/K0V,0.91,,,,oui
HD 6530  ,16.52145175,-9.83935386111111,5.578,A1V,0.008,-0.01,,A1,
HD 65448,120.6283333333333,63.09031111111111,6.4,G1III,0.59,,,,oui
HD 65456 ,119.417110125,-30.3345700833333,4.789,A2Vv,0.138,0.09,,A2,
HD 65460 ,119.240837041667,-43.5004105,5.34,"B2,5V",-0.159,0.08,,"B2,5",
HD 65497,120.78958333333333,65.13578055555556,7.69,G2,0.41,,,,oui
HD 65522,119.89625,13.242169444444444,6.07,K2,1.35,,,,oui
HD 65699,119.77374999999999,-23.31038888888889,5.11,G9IIa,1.12,,,,oui
HD 65810 ,119.966879875,-18.3992303333333,4.613,A1V,0.085,0.07,,A1,
HD 65873 ,120.376201375,16.4553102777778,5.983,"B9,5Vn",-0.01,0.06,,"B9,5",
HD 65900,120.493375,4.87983333333333,5.646,A1V,,0.01,s0288,A1,
HD 65900 ,120.307880708333,4.87982308333333,5.646,A1V,0.012,-0.01,,A1,
HD 65904 ,119.757508708333,-45.2158445555556,5.962,B4V,-0.132,0.05,,B4,
HD 66011,120.46125,8.914,6.21,G0IV,0.57,,,,oui
HD 66242,120.6083333333333,-6.337138888888888,6.33,F8/G0IV,0.6,,,,oui
HD 66306,120.48791666666666,-27.214780555555556,6.86,B7II,-0.06,,,,oui
HD 66441 ,120.208077125,-54.1512747222222,5.84,B5Vn,-0.122,0.04,,B5,
HD 66591 ,120.083194916667,-63.5674561388889,4.797,B3V,-0.149,0.05,,B3,
HD 66664 ,121.268701416667,13.1182154722222,5.146,A1V,0.016,0.0,,A1,
HD 6668,16.803749999999997,-23.996330555555556,6.35,A3III,0.23,,,,oui
HD 6675,17.30458333333333,69.68653055555556,6.94,B0.5III,0.22,,,,oui
HD 6676  ,17.1394445416667,58.2634480555556,5.773,B8V,-0.019,0.09,,B8,
HD 66885,121.13583333333331,-25.69975,6.4,K5/M0III,1.61,,,,oui
HD 66932,121.16166666666665,-29.965999999999998,7.4,M4III,1.52,,,,oui
HD 6695  ,16.9881827916667,20.7391197222222,5.569,A3V,0.114,0.03,,A3,
HD 67006 ,122.114359666667,51.5066681944444,4.802,A2V,0.031,-0.02,,A2,
HD 6706,16.942499999999995,-9.785561111111111,5.71,F5V,0.43,,,,oui
HD 67159,121.60999999999999,-9.240830555555554,6.23,B9III,-0.04,,,,oui
HD 67228,121.94125,21.58181111111111,5.3,G1IVb,0.63,,,,oui
HD 67447,123.2033333333333,68.47408055555556,5.33,G7IIb,1.02,,,,oui
HD 67542,122.39666666666666,29.093080555555556,6.46,G0II,0.79,,,,oui
HD 67767,122.6133333333333,25.507330555555555,5.7,G7V,90.0,,,,oui
HD 67797 ,122.256822541667,-19.2450144722222,4.39,B5V,-0.15,0.02,,B5,oui
HD 67880 ,122.368896791667,-16.2489183888889,5.65,B3/5V,-0.16,0.03,,B4,oui
HD 6798  ,18.0700775,79.6739626388889,5.6,A3V,0.02,-0.06,,A3,
HD 6805,17.147499999999997,-10.182280555555556,3.45,K2-IIIb,1.16,,,,oui
HD 68099,122.81916666666665,9.821219444444445,6.07,B6III,-0.12,,,,oui
HD 6811  ,17.3755234166667,47.2417942777778,4.252,B7Ve,-0.055,0.08,,B7,
HD 68256,123.05541666666664,17.647669444444443,5.79,G0IV-V,0.57,,,,oui
HD 68257,123.05291666666665,17.647780555555556,5.31,F8V,0.54,,,,oui
HD 6829  ,17.6638462916667,68.7786215277778,5.318,A0Vnn,-0.015,0.0,,A0,
HD 68290,122.81791666666665,-12.92711111111111,4.72,G8.5IIIb,0.96,,,,oui
HD 68535,122.95916666666665,-27.523530555555556,7.91,B3II,-0.07,,,,oui
HD 6860,17.432916666666664,35.62056111111111,2.05,M0+IIIa,1.57,,,,oui
HD 68657 ,122.794958208333,-48.4619927777778,5.805,B3V,-0.139,0.06,,B3,
HD 68930,124.45999999999998,59.57113888888889,5.63,A7IV,0.16,,,,oui
HD 6903,17.455,19.658419444444444,5.56,F9IIIa,0.7,,,,oui
HD 69267,124.12875000000001,9.185561111111111,3.52,K4IIIBa0.5:,1.48,,,,oui
HD 693,2.8162499999999997,-15.467969444444444,4.89,F8VFe-0.8CH-0.5,0.49,,,,oui
HD 6953,17.581249999999997,25.45775,5.8,K5III-IIIb,1.48,,,,oui
HD 69562,124.18583333333333,-21.882080555555557,6.96,B3III,-0.14,,,,oui
HD 6960  ,17.8565462916667,64.2026766388889,5.55,B9.5V,-0.06,0.02,,"B9,5",oui
HD 6961  ,17.7756760416667,55.149902,4.33,A7V,0.18,-0.02,,A7,oui
HD 6972,17.9225,65.01886111111111,5.56,B9IV,-0.08,,,,oui
HD 69830,124.59958333333333,-12.632169444444445,5.95,G8:V,0.79,,,,oui
HD 69863 ,123.816332125,-62.9156446666667,5.16,A2V,0.09,0.04,,A2,
HD 70011 ,125.13390125,24.0223110555556,5.93,"B9,5V",-0.06,0.01,,"B9,5",
HD 70060 ,124.638804125,-36.6592886388889,4.4,A8V,0.28,0.01,,A8,
HD 70075,124.84291666666665,-20.16425,6.68,A1IV,0.01,,,,oui
HD 70272,125.70875,43.188138888888886,4.25,K4+III,1.55,,,,oui
HD 70300,125.18958333333332,-14.363111111111111,7.56,A8III,0.29,,,,oui
HD 70313 ,125.952094666667,53.2197115,5.54,A3V,0.12,0.04,,A3,
HD 70442 ,125.33843125,-20.0790545277778,5.582,A3V,0.749,0.67,,A3,
HD 70569 ,125.841000958333,18.3321985277778,5.94,A9V,0.18,-0.12,,A9,oui
HD 70574,125.62583333333333,-6.179169444444445,6.14,A8III,0.22,,,,oui
HD 70889,125.88249999999998,-27.82236111111111,7.09,F9.5V,0.59,,,,oui
HD 70923,126.13874999999999,-1.148611111111111,7.05,G1V,0.6,,,,oui
HD 70930 ,125.632058791667,-48.4903786388889,4.812,B1V,-0.159,0.1,,B1,
HD 71043 ,125.72982425,-52.1237297222222,5.894,A0V,0.016,0.03,,A0,
HD 71099,126.24333333333333,-15.294138888888888,6.76,A4IV,0.16,,,,oui
